lat1,lon1,lat2,lon2,seq
31.30,-114.70,31.32,-114.68,355301
31.30,-114.68,31.32,-114.66,355302
31.30,-114.66,31.32,-114.64,355303
31.30,-114.64,31.32,-114.62,355304
31.30,-114.62,31.32,-114.60,355305
31.30,-114.60,31.32,-114.58,355306
31.30,-114.58,31.32,-114.56,355307
31.30,-114.56,31.32,-114.54,355308
31.30,-114.54,31.32,-114.52,355309
31.30,-114.52,31.32,-114.50,355310
31.30,-114.50,31.32,-114.48,355311
31.30,-114.48,31.32,-114.46,355312
31.30,-114.46,31.32,-114.44,355313
31.30,-114.44,31.32,-114.42,355314
31.30,-114.42,31.32,-114.40,355315
31.30,-114.40,31.32,-114.38,355316
31.30,-114.38,31.32,-114.36,355317
31.30,-114.36,31.32,-114.34,355318
31.30,-114.34,31.32,-114.32,355319
31.30,-114.32,31.32,-114.30,355320
31.30,-114.30,31.32,-114.28,355321
31.30,-114.28,31.32,-114.26,355322
31.30,-114.26,31.32,-114.24,355323
31.30,-114.24,31.32,-114.22,355324
31.30,-114.22,31.32,-114.20,355325
31.30,-114.20,31.32,-114.18,355326
31.30,-114.18,31.32,-114.16,355327
31.30,-114.16,31.32,-114.14,355328
31.30,-114.14,31.32,-114.12,355329
31.30,-114.12,31.32,-114.10,355330
31.30,-114.10,31.32,-114.08,355331
31.30,-114.08,31.32,-114.06,355332
31.30,-114.06,31.32,-114.04,355333
31.30,-114.04,31.32,-114.02,355334
31.30,-114.02,31.32,-114.00,355335
31.30,-114.00,31.32,-113.98,355336
31.30,-113.98,31.32,-113.96,355337
31.30,-113.96,31.32,-113.94,355338
31.30,-113.94,31.32,-113.92,355339
31.30,-113.92,31.32,-113.90,355340
31.30,-113.90,31.32,-113.88,355341
31.30,-113.88,31.32,-113.86,355342
31.30,-113.86,31.32,-113.84,355343
31.30,-113.84,31.32,-113.82,355344
31.30,-113.82,31.32,-113.80,355345
31.30,-113.80,31.32,-113.78,355346
31.30,-113.78,31.32,-113.76,355347
31.30,-113.76,31.32,-113.74,355348
31.30,-113.74,31.32,-113.72,355349
31.30,-113.72,31.32,-113.70,355350
31.30,-113.70,31.32,-113.68,355351
31.30,-113.68,31.32,-113.66,355352
31.30,-113.66,31.32,-113.64,355353
31.30,-113.64,31.32,-113.62,355354
31.30,-113.62,31.32,-113.60,355355
31.30,-113.60,31.32,-113.58,355356
31.30,-113.58,31.32,-113.56,355357
31.30,-113.56,31.32,-113.54,355358
31.30,-113.54,31.32,-113.52,355359
31.30,-113.52,31.32,-113.50,355360
31.30,-113.50,31.32,-113.48,355361
31.30,-113.48,31.32,-113.46,355362
31.30,-113.46,31.32,-113.44,355363
31.30,-113.44,31.32,-113.42,355364
31.30,-113.42,31.32,-113.40,355365
31.30,-113.40,31.32,-113.38,355366
31.30,-113.38,31.32,-113.36,355367
31.30,-113.36,31.32,-113.34,355368
31.30,-113.34,31.32,-113.32,355369
31.30,-113.32,31.32,-113.30,355370
31.30,-113.30,31.32,-113.28,355371
31.30,-113.28,31.32,-113.26,355372
31.30,-113.26,31.32,-113.24,355373
31.30,-113.24,31.32,-113.22,355374
31.30,-113.22,31.32,-113.20,355375
31.30,-113.20,31.32,-113.18,355376
31.30,-113.18,31.32,-113.16,355377
31.30,-113.16,31.32,-113.14,355378
31.30,-113.14,31.32,-113.12,355379
31.30,-113.12,31.32,-113.10,355380
31.30,-113.10,31.32,-113.08,355381
31.30,-113.08,31.32,-113.06,355382
31.30,-113.06,31.32,-113.04,355383
31.30,-113.04,31.32,-113.02,355384
31.30,-113.02,31.32,-113.00,355385
31.30,-113.00,31.32,-112.98,355386
31.30,-112.98,31.32,-112.96,355387
31.30,-112.96,31.32,-112.94,355388
31.30,-112.94,31.32,-112.92,355389
31.30,-112.92,31.32,-112.90,355390
31.30,-112.90,31.32,-112.88,355391
31.30,-112.88,31.32,-112.86,355392
31.30,-112.86,31.32,-112.84,355393
31.30,-112.84,31.32,-112.82,355394
31.30,-112.82,31.32,-112.80,355395
31.30,-112.80,31.32,-112.78,355396
31.30,-112.78,31.32,-112.76,355397
31.30,-112.76,31.32,-112.74,355398
31.30,-112.74,31.32,-112.72,355399
31.30,-112.72,31.32,-112.70,355400
31.30,-112.70,31.32,-112.68,355401
31.30,-112.68,31.32,-112.66,355402
31.30,-112.66,31.32,-112.64,355403
31.30,-112.64,31.32,-112.62,355404
31.30,-112.62,31.32,-112.60,355405
31.30,-112.60,31.32,-112.58,355406
31.30,-112.58,31.32,-112.56,355407
31.30,-112.56,31.32,-112.54,355408
31.30,-112.54,31.32,-112.52,355409
31.30,-112.52,31.32,-112.50,355410
31.30,-112.50,31.32,-112.48,355411
31.30,-112.48,31.32,-112.46,355412
31.30,-112.46,31.32,-112.44,355413
31.30,-112.44,31.32,-112.42,355414
31.30,-112.42,31.32,-112.40,355415
31.30,-112.40,31.32,-112.38,355416
31.30,-112.38,31.32,-112.36,355417
31.30,-112.36,31.32,-112.34,355418
31.30,-112.34,31.32,-112.32,355419
31.30,-112.32,31.32,-112.30,355420
31.30,-112.30,31.32,-112.28,355421
31.30,-112.28,31.32,-112.26,355422
31.30,-112.26,31.32,-112.24,355423
31.30,-112.24,31.32,-112.22,355424
31.30,-112.22,31.32,-112.20,355425
31.30,-112.20,31.32,-112.18,355426
31.30,-112.18,31.32,-112.16,355427
31.30,-112.16,31.32,-112.14,355428
31.30,-112.14,31.32,-112.12,355429
31.30,-112.12,31.32,-112.10,355430
31.30,-112.10,31.32,-112.08,355431
31.30,-112.08,31.32,-112.06,355432
31.30,-112.06,31.32,-112.04,355433
31.30,-112.04,31.32,-112.02,355434
31.30,-112.02,31.32,-112.00,355435
31.30,-112.00,31.32,-111.98,355436
31.30,-111.98,31.32,-111.96,355437
31.30,-111.96,31.32,-111.94,355438
31.30,-111.94,31.32,-111.92,355439
31.30,-111.92,31.32,-111.90,355440
31.30,-111.90,31.32,-111.88,355441
31.30,-111.88,31.32,-111.86,355442
31.30,-111.86,31.32,-111.84,355443
31.30,-111.84,31.32,-111.82,355444
31.30,-111.82,31.32,-111.80,355445
31.30,-111.80,31.32,-111.78,355446
31.30,-111.78,31.32,-111.76,355447
31.30,-111.76,31.32,-111.74,355448
31.30,-111.74,31.32,-111.72,355449
31.30,-111.72,31.32,-111.70,355450
31.30,-111.70,31.32,-111.68,355451
31.30,-111.68,31.32,-111.66,355452
31.30,-111.66,31.32,-111.64,355453
31.30,-111.64,31.32,-111.62,355454
31.30,-111.62,31.32,-111.60,355455
31.30,-111.60,31.32,-111.58,355456
31.30,-111.58,31.32,-111.56,355457
31.30,-111.56,31.32,-111.54,355458
31.30,-111.54,31.32,-111.52,355459
31.30,-111.52,31.32,-111.50,355460
31.30,-111.50,31.32,-111.48,355461
31.30,-111.48,31.32,-111.46,355462
31.30,-111.46,31.32,-111.44,355463
31.30,-111.44,31.32,-111.42,355464
31.30,-111.42,31.32,-111.40,355465
31.30,-111.40,31.32,-111.38,355466
31.30,-111.38,31.32,-111.36,355467
31.30,-111.36,31.32,-111.34,355468
31.30,-111.34,31.32,-111.32,355469
31.30,-111.32,31.32,-111.30,355470
31.30,-111.30,31.32,-111.28,355471
31.30,-111.28,31.32,-111.26,355472
31.30,-111.26,31.32,-111.24,355473
31.30,-111.24,31.32,-111.22,355474
31.30,-111.22,31.32,-111.20,355475
31.30,-111.20,31.32,-111.18,355476
31.30,-111.18,31.32,-111.16,355477
31.30,-111.16,31.32,-111.14,355478
31.30,-111.14,31.32,-111.12,355479
31.30,-111.12,31.32,-111.10,355480
31.30,-111.10,31.32,-111.08,355481
31.30,-111.08,31.32,-111.06,355482
31.30,-111.06,31.32,-111.04,355483
31.30,-111.04,31.32,-111.02,355484
31.30,-111.02,31.32,-111.00,355485
31.30,-111.00,31.32,-110.98,355486
31.30,-110.98,31.32,-110.96,355487
31.30,-110.96,31.32,-110.94,355488
31.30,-110.94,31.32,-110.92,355489
31.30,-110.92,31.32,-110.90,355490
31.30,-110.90,31.32,-110.88,355491
31.30,-110.88,31.32,-110.86,355492
31.30,-110.86,31.32,-110.84,355493
31.30,-110.84,31.32,-110.82,355494
31.30,-110.82,31.32,-110.80,355495
31.30,-110.80,31.32,-110.78,355496
31.30,-110.78,31.32,-110.76,355497
31.30,-110.76,31.32,-110.74,355498
31.30,-110.74,31.32,-110.72,355499
31.30,-110.72,31.32,-110.70,355500
31.30,-110.70,31.32,-110.68,355501
31.30,-110.68,31.32,-110.66,355502
31.30,-110.66,31.32,-110.64,355503
31.30,-110.64,31.32,-110.62,355504
31.30,-110.62,31.32,-110.60,355505
31.30,-110.60,31.32,-110.58,355506
31.30,-110.58,31.32,-110.56,355507
31.30,-110.56,31.32,-110.54,355508
31.30,-110.54,31.32,-110.52,355509
31.30,-110.52,31.32,-110.50,355510
31.30,-110.50,31.32,-110.48,355511
31.30,-110.48,31.32,-110.46,355512
31.30,-110.46,31.32,-110.44,355513
31.30,-110.44,31.32,-110.42,355514
31.30,-110.42,31.32,-110.40,355515
31.30,-110.40,31.32,-110.38,355516
31.30,-110.38,31.32,-110.36,355517
31.30,-110.36,31.32,-110.34,355518
31.30,-110.34,31.32,-110.32,355519
31.30,-110.32,31.32,-110.30,355520
31.30,-110.30,31.32,-110.28,355521
31.30,-110.28,31.32,-110.26,355522
31.30,-110.26,31.32,-110.24,355523
31.30,-110.24,31.32,-110.22,355524
31.30,-110.22,31.32,-110.20,355525
31.30,-110.20,31.32,-110.18,355526
31.30,-110.18,31.32,-110.16,355527
31.30,-110.16,31.32,-110.14,355528
31.30,-110.14,31.32,-110.12,355529
31.30,-110.12,31.32,-110.10,355530
31.30,-110.10,31.32,-110.08,355531
